"X__deprecation_message__"	"ip"	"country_code"	"country_name"	"region_code"	"region_name"	"city"	"zip_code"	"time_zone"	"latitude"	"longitude"	"metro_code"
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.195.241.110"	"CN"	"China"	"HA"	"Henan"	"Zhengzhou"	""	"Asia/Shanghai"	34.6836	113.5325	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.195.242.127"	"CN"	"China"	"HA"	"Henan"	"Zhengzhou"	""	"Asia/Shanghai"	34.6836	113.5325	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.195.243.165"	"CN"	"China"	"HA"	"Henan"	"Zhengzhou"	""	"Asia/Shanghai"	34.6836	113.5325	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.195.27.70"	"CN"	"China"	"HA"	"Henan"	"Zhengzhou"	""	"Asia/Shanghai"	34.6836	113.5325	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.195.9.115"	"CN"	"China"	"HA"	"Henan"	"Zhengzhou"	""	"Asia/Shanghai"	34.6836	113.5325	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.196.112.205"	"CN"	"China"	"HA"	"Henan"	"Zhengzhou"	""	"Asia/Shanghai"	34.6836	113.5325	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.196.192.51"	"CN"	"China"	"HA"	"Henan"	"Zhengzhou"	""	"Asia/Shanghai"	34.6836	113.5325	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.196.203.21"	"CN"	"China"	"HA"	"Henan"	"Zhengzhou"	""	"Asia/Shanghai"	34.6836	113.5325	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.196.7.21"	"CN"	"China"	"HA"	"Henan"	"Zhengzhou"	""	"Asia/Shanghai"	34.6836	113.5325	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.197.203.195"	"CN"	"China"	"HA"	"Henan"	"Zhengzhou"	""	"Asia/Shanghai"	34.6836	113.5325	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.197.203.30"	"CN"	"China"	"HA"	"Henan"	"Zhengzhou"	""	"Asia/Shanghai"	34.6836	113.5325	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.197.204.123"	"CN"	"China"	"HA"	"Henan"	"Zhengzhou"	""	"Asia/Shanghai"	34.6836	113.5325	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.197.204.165"	"CN"	"China"	"HA"	"Henan"	"Zhengzhou"	""	"Asia/Shanghai"	34.6836	113.5325	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.197.204.28"	"CN"	"China"	"HA"	"Henan"	"Zhengzhou"	""	"Asia/Shanghai"	34.6836	113.5325	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.198.72.37"	"CN"	"China"	"HA"	"Henan"	"Zhengzhou"	""	"Asia/Shanghai"	34.6836	113.5325	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.198.72.54"	"CN"	"China"	"HA"	"Henan"	"Zhengzhou"	""	"Asia/Shanghai"	34.6836	113.5325	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.198.73.173"	"CN"	"China"	"HA"	"Henan"	"Zhengzhou"	""	"Asia/Shanghai"	34.6836	113.5325	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.198.73.25"	"CN"	"China"	"HA"	"Henan"	"Zhengzhou"	""	"Asia/Shanghai"	34.6836	113.5325	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.198.73.75"	"CN"	"China"	"HA"	"Henan"	"Zhengzhou"	""	"Asia/Shanghai"	34.6836	113.5325	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.198.89.2"	"CN"	"China"	"HA"	"Henan"	"Zhengzhou"	""	"Asia/Shanghai"	34.6836	113.5325	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.199.141.85"	"CN"	"China"	"HA"	"Henan"	"Zhengzhou"	""	"Asia/Shanghai"	34.6836	113.5325	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.199.192.51"	"CN"	"China"	"HA"	"Henan"	"Zhengzhou"	""	"Asia/Shanghai"	34.6836	113.5325	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.199.224.33"	"CN"	"China"	"HA"	"Henan"	"Zhengzhou"	""	"Asia/Shanghai"	34.6836	113.5325	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.199.31.16"	"CN"	"China"	"HA"	"Henan"	"Zhengzhou"	""	"Asia/Shanghai"	34.6836	113.5325	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.199.31.211"	"CN"	"China"	"HA"	"Henan"	"Zhengzhou"	""	"Asia/Shanghai"	34.6836	113.5325	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.199.70.105"	"CN"	"China"	"HA"	"Henan"	"Zhengzhou"	""	"Asia/Shanghai"	34.6836	113.5325	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.202.12.140"	"CN"	"China"	"BJ"	"Beijing"	"Beijing"	""	"Asia/Shanghai"	39.9289	116.3883	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.202.13.204"	"CN"	"China"	"BJ"	"Beijing"	"Beijing"	""	"Asia/Shanghai"	39.9289	116.3883	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.202.149.126"	"CN"	"China"	"BJ"	"Beijing"	"Beijing"	""	"Asia/Shanghai"	39.9289	116.3883	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.202.241.142"	"CN"	"China"	"BJ"	"Beijing"	"Beijing"	""	"Asia/Shanghai"	39.9289	116.3883	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.204.119.6"	"CN"	"China"	"GZ"	"Guizhou"	"Guiyang"	""	"Asia/Shanghai"	26.5833	106.7167	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.204.124.125"	"CN"	"China"	"GZ"	"Guizhou"	"Guiyang"	""	"Asia/Shanghai"	26.5833	106.7167	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.204.14.155"	"CN"	"China"	"GZ"	"Guizhou"	"Guiyang"	""	"Asia/Shanghai"	26.5833	106.7167	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.204.144.19"	"CN"	"China"	"GZ"	"Guizhou"	"Qingzhen"	""	"Asia/Shanghai"	26.55	106.4667	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.204.200.213"	"CN"	"China"	"GZ"	"Guizhou"	"Guiyang"	""	"Asia/Shanghai"	26.5833	106.7167	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.204.203.165"	"CN"	"China"	"GZ"	"Guizhou"	"Guiyang"	""	"Asia/Shanghai"	26.5833	106.7167	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.204.207.114"	"CN"	"China"	"GZ"	"Guizhou"	"Guiyang"	""	"Asia/Shanghai"	26.5833	106.7167	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.204.207.145"	"CN"	"China"	"GZ"	"Guizhou"	"Guiyang"	""	"Asia/Shanghai"	26.5833	106.7167	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.204.9.244"	"CN"	"China"	"GZ"	"Guizhou"	"Guiyang"	""	"Asia/Shanghai"	26.5833	106.7167	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.207.250.101"	"CN"	"China"	"GZ"	"Guizhou"	"Guiyang"	""	"Asia/Shanghai"	26.5833	106.7167	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.207.63.28"	"CN"	"China"	"GZ"	"Guizhou"	"Guiyang"	""	"Asia/Shanghai"	26.5833	106.7167	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.209.171.4"	"KR"	"Republic of Korea"	"11"	"Seoul"	"Seoul"	""	"Asia/Seoul"	37.5985	126.9783	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.22.160.39"	"IN"	"India"	"KA"	"Karnataka"	"Bengaluru"	""	"Asia/Kolkata"	12.9833	77.5833	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.221.192.106"	"KR"	"Republic of Korea"	"11"	"Seoul"	"Seoul"	""	"Asia/Seoul"	37.5985	126.9783	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.221.192.110"	"KR"	"Republic of Korea"	"11"	"Seoul"	"Seoul"	""	"Asia/Seoul"	37.5985	126.9783	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.230.240.105"	"KR"	"Republic of Korea"	""	""	""	""	"Asia/Seoul"	37.5112	126.9741	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.234.20.134"	"KR"	"Republic of Korea"	""	""	""	""	"Asia/Seoul"	37.5112	126.9741	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.234.31.46"	"KR"	"Republic of Korea"	""	""	""	""	"Asia/Seoul"	37.5112	126.9741	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.234.56.175"	"KR"	"Republic of Korea"	""	""	""	""	"Asia/Seoul"	37.5112	126.9741	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.234.79.66"	"KR"	"Republic of Korea"	"11"	"Seoul"	"Seoul"	""	"Asia/Seoul"	37.5985	126.9783	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.236.162.179"	"KR"	"Republic of Korea"	"42"	"Gangwon-do"	"Haesan"	""	"Asia/Seoul"	38.1833	127.8167	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.24.245.163"	"CN"	"China"	"NM"	"Inner Mongolia Autonomous Region"	"Baotou"	""	"Asia/Shanghai"	40.6522	109.8222	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.245.161.226"	"KR"	"Republic of Korea"	"30"	"Daejeon"	"Daejeon"	""	"Asia/Seoul"	36.3214	127.4197	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.30.163.135"	"CN"	"China"	"NM"	"Inner Mongolia Autonomous Region"	"Baotou"	""	"Asia/Shanghai"	40.6522	109.8222	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.32.79.125"	"MY"	"Malaysia"	"10"	"Selangor"	"Petaling Jaya"	"46400"	"Asia/Kuala_Lumpur"	3.0833	101.65	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.50.118.226"	"CN"	"China"	"NX"	"Ningsia Hui Autonomous Region"	"Yinchuan"	""	"Asia/Shanghai"	38.4681	106.2731	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.52.32.240"	"VN"	"Vietnam"	"SG"	"Ho Chi Minh City"	"Ho Chi Minh City"	""	"Asia/Ho_Chi_Minh"	10.8142	106.6438	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.55.45.10"	"VN"	"Vietnam"	"HN"	"Thanh Pho Ha Noi"	"Hanoi"	""	"Asia/Ho_Chi_Minh"	21.0333	105.85	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.56.208.208"	"CN"	"China"	"HL"	"Heilongjiang"	"Harbin"	""	"Asia/Shanghai"	45.75	126.65	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.57.119.37"	"CN"	"China"	"HL"	"Heilongjiang"	"Harbin"	""	"Asia/Shanghai"	45.75	126.65	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.57.98.29"	"CN"	"China"	"HL"	"Heilongjiang"	"Harbin"	""	"Asia/Shanghai"	45.75	126.65	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.58.124.178"	"CN"	"China"	"HL"	"Heilongjiang"	"Harbin"	""	"Asia/Shanghai"	45.75	126.65	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.58.233.122"	"CN"	"China"	"HL"	"Heilongjiang"	"Harbin"	""	"Asia/Shanghai"	45.75	126.65	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.60.204.203"	"CN"	"China"	"HL"	"Heilongjiang"	"Harbin"	""	"Asia/Shanghai"	45.75	126.65	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.83.103.125"	"CN"	"China"	"SN"	"Shaanxi"	"Xi'an"	""	"Asia/Shanghai"	34.2583	108.9286	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.83.103.224"	"CN"	"China"	"SN"	"Shaanxi"	"Xi'an"	""	"Asia/Shanghai"	34.2583	108.9286	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.85.100.44"	"CN"	"China"	"SN"	"Shaanxi"	"Xi'an"	""	"Asia/Shanghai"	34.2583	108.9286	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.85.18.88"	"CN"	"China"	"SN"	"Shaanxi"	"Xi'an"	""	"Asia/Shanghai"	34.2583	108.9286	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"100.15.206.205"	"US"	"United States"	"DC"	"District of Columbia"	"Washington"	"20016"	"America/New_York"	38.9376	-77.0928	511
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"101.164.156.112"	"AU"	"Australia"	"NSW"	"New South Wales"	"Gordon"	"2072"	"Australia/Sydney"	-33.7553	151.1512	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"101.17.188.184"	"CN"	"China"	"HE"	"Hebei"	"Hebei"	""	"Asia/Shanghai"	39.8897	115.275	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"101.173.84.41"	"AU"	"Australia"	"VIC"	"Victoria"	"Ashburton"	"3147"	"Australia/Melbourne"	-37.8626	145.0794	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"101.174.80.135"	"AU"	"Australia"	"NSW"	"New South Wales"	"Lismore"	"2480"	"Australia/Sydney"	-28.8133	153.2758	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"101.185.12.121"	"AU"	"Australia"	"SA"	"South Australia"	"Adelaide"	"5000"	"Australia/Adelaide"	-34.9287	138.5986	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"101.2.175.185"	"CN"	"China"	"FJ"	"Fujian"	"Fuzhou"	""	"Asia/Shanghai"	26.0614	119.3061	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"101.200.143.154"	"CN"	"China"	"ZJ"	"Zhejiang"	"Hangzhou"	""	"Asia/Shanghai"	30.2936	120.1614	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"101.200.36.12"	"CN"	"China"	"ZJ"	"Zhejiang"	"Hangzhou"	""	"Asia/Shanghai"	30.2936	120.1614	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"101.200.84.31"	"CN"	"China"	"ZJ"	"Zhejiang"	"Hangzhou"	""	"Asia/Shanghai"	30.2936	120.1614	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"101.206.193.175"	"CN"	"China"	"SC"	"Sichuan"	"Chengdu"	""	"Asia/Shanghai"	30.6667	104.0667	0
