"X__deprecation_message__"	"ip"	"country_code"	"country_name"	"region_code"	"region_name"	"city"	"zip_code"	"time_zone"	"latitude"	"longitude"	"metro_code"
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.1.221.92"	"TH"	"Thailand"	"73"	"Changwat Nakhon Pathom"	"Nakhon Pathom"	"73150"	"Asia/Bangkok"	13.8667	100.1917	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.10.247.67"	"TH"	"Thailand"	"10"	"Bangkok"	"Bangkok"	"10800"	"Asia/Bangkok"	13.8	100.5333	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.119.192.195"	"CN"	"China"	"BJ"	"Beijing"	"Beijing"	""	"Asia/Shanghai"	39.9289	116.3883	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.160.167.89"	"TW"	"Taiwan"	"TPE"	"Taipei City"	"Taipei"	""	"Asia/Taipei"	25.0478	121.5318	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.161.141.222"	"TW"	"Taiwan"	"TPE"	"Taipei City"	"Taipei"	""	"Asia/Taipei"	25.0478	121.5318	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.161.176.167"	"TW"	"Taiwan"	"TAO"	"Taoyuan"	"Taoyuan District"	""	"Asia/Taipei"	24.9896	121.3187	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.162.20.88"	"TW"	"Taiwan"	"ILA"	"Yilan"	"Yilan"	""	"Asia/Taipei"	24.757	121.753	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.162.21.130"	"TW"	"Taiwan"	"ILA"	"Yilan"	"Yilan"	""	"Asia/Taipei"	24.757	121.753	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.163.173.224"	"TW"	"Taiwan"	"TPE"	"Taipei City"	"Taipei"	""	"Asia/Taipei"	25.0478	121.5318	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.164.95.49"	"TW"	"Taiwan"	"TPE"	"Taipei City"	"Taipei"	""	"Asia/Taipei"	25.0478	121.5318	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.168.230.22"	"TW"	"Taiwan"	""	""	""	""	"Asia/Taipei"	23.5	121	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.169.226.155"	"TW"	"Taiwan"	"TPE"	"Taipei City"	"Taipei"	""	"Asia/Taipei"	25.0478	121.5318	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.170.134.241"	"TW"	"Taiwan"	""	""	""	""	"Asia/Taipei"	23.5	121	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.170.18.163"	"TW"	"Taiwan"	"TXG"	"Taichung City"	"Taichung"	""	"Asia/Taipei"	24.1469	120.6839	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.171.169.87"	"TW"	"Taiwan"	"TPE"	"Taipei City"	"Taipei"	""	"Asia/Taipei"	25.0478	121.5318	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.171.175.226"	"TW"	"Taiwan"	"TPE"	"Taipei City"	"Taipei"	""	"Asia/Taipei"	25.0478	121.5318	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.171.204.80"	"TW"	"Taiwan"	"TPE"	"Taipei City"	"Taipei"	""	"Asia/Taipei"	25.0478	121.5318	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.172.23.96"	"TW"	"Taiwan"	"PEN"	"Penghu"	"Magong"	""	"Asia/Taipei"	23.57	119.57	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.173.95.166"	"TW"	"Taiwan"	"TNN"	"Tainan"	"Tainan City"	""	"Asia/Taipei"	22.9908	120.2133	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.175.182.97"	"TW"	"Taiwan"	"TNN"	"Tainan"	"Tong'anliao"	""	"Asia/Taipei"	23.0981	120.2125	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.179.182.186"	"TH"	"Thailand"	""	""	""	""	"Asia/Bangkok"	13.75	100.4667	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.180.70.178"	"CN"	"China"	"NM"	"Inner Mongolia Autonomous Region"	"Baotou"	""	"Asia/Shanghai"	40.6522	109.8222	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.186.45.172"	"IN"	"India"	"MH"	"Maharashtra"	"Pune"	"411001"	"Asia/Kolkata"	18.5333	73.8667	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.190.67.238"	"CN"	"China"	"HL"	"Heilongjiang"	"Harbin"	""	"Asia/Shanghai"	45.75	126.65	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.191.16.40"	"CN"	"China"	"HL"	"Heilongjiang"	"Harbin"	""	"Asia/Shanghai"	45.75	126.65	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.192.240.205"	"CN"	"China"	"HA"	"Henan"	"Zhengzhou"	""	"Asia/Shanghai"	34.6836	113.5325	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.193.97.8"	"CN"	"China"	"HA"	"Henan"	"Zhengzhou"	""	"Asia/Shanghai"	34.6836	113.5325	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.193.98.231"	"CN"	"China"	"HA"	"Henan"	"Zhengzhou"	""	"Asia/Shanghai"	34.6836	113.5325	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.193.98.66"	"CN"	"China"	"HA"	"Henan"	"Zhengzhou"	""	"Asia/Shanghai"	34.6836	113.5325	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.193.99.40"	"CN"	"China"	"HA"	"Henan"	"Zhengzhou"	""	"Asia/Shanghai"	34.6836	113.5325	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.194.133.102"	"CN"	"China"	"HA"	"Henan"	"Zhengzhou"	""	"Asia/Shanghai"	34.6836	113.5325	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.194.84.29"	"CN"	"China"	"HA"	"Henan"	"Zhengzhou"	""	"Asia/Shanghai"	34.6836	113.5325	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.195.123.45"	"CN"	"China"	"HA"	"Henan"	"Zhengzhou"	""	"Asia/Shanghai"	34.6836	113.5325	0
"This API endpoint is deprecated and will stop working on July 1st, 2018. For more information please visit: https://github.com/apilayer/freegeoip#readme"	"1.195.240.16"	"CN"	"China"	"HA"	"Henan"	"Zhengzhou"	""	"Asia/Shanghai"	34.6836	113.5325	0
