Firstseen (UTC)	Version	Feodo C&C	Status	SBL	ASN	Country	Lastseen (UTC)\
2016-11-15 14:53:22	D	93.122.165.54	offline	SBL321259	AS8953 ASN-ORANGE-ROMANIA,	- RO	2016-11-18 18:30:35\
2016-11-15 14:53:22	D	193.136.97.4	offline	SBL321257	AS1930 RCCN	- PT	2016-11-18 18:30:35\
2016-11-11 14:09:04	D	149.210.158.54	offline	SBL321600	AS20857 TRANSIP-AS	- NL	2016-11-18 18:35:55\
2016-11-11 14:09:04	D	87.254.45.29	offline	SBL321258	AS35754 IMCAS-AS,	- NO	2016-11-18 18:30:35\
2016-11-05 21:01:33	D	216.127.161.5	offline	SBL325174	AS35916 MULTA-ASN1	- US	2016-12-17 02:07:42\
2016-11-04 08:51:51	D	77.111.90.85	offline	Not listed	AS197248 DRAVANET-AS,	- HU	2018-01-30 02:12:13\
2016-10-27 10:19:59	D	210.2.86.72	offline	Not listed	AS24085 QTSC-AS-VN	- VN	2016-11-18 18:35:55\
2016-10-27 10:19:59	D	162.243.47.192	offline	SBL318907	AS14061 DIGITALOCEAN-ASN	- US	2016-11-19 08:51:20\
2016-10-26 11:06:32	D	198.20.239.21	offline	Not listed	AS46606 UNIFIEDLAYER-AS-1	- US	2016-10-28 04:21:32\
2016-10-26 11:06:32	D	120.138.18.110	offline	Not listed	AS45179 SITEHOST-AS-AP	- NZ	2016-10-28 04:21:32\
2016-10-26 11:06:32	D	46.101.10.156	offline	Not listed	AS14061 DIGITALOCEAN-ASN	- RU	2016-10-28 04:21:32\
2016-10-24 00:07:38	D	92.222.219.26	offline	SBL318476	AS16276 OVH,	- FR	never\
2016-09-29 12:09:00	D	23.253.210.81	offline	SBL315565	AS19994 RACKSPACE	- US	2016-10-06 15:57:00\
2016-09-27 09:46:30	D	62.108.36.240	offline	SBL315564	AS30962 COMTRANCE-AS,	- DE	2016-10-06 15:57:00\
2016-09-27 09:46:30	D	148.251.46.169	offline	SBL315567	AS24940 HETZNER-AS,	- DE	2016-10-06 15:57:00\
2016-09-27 09:46:30	D	132.248.49.100	offline	SBL315566	AS278 Universidad	- MX	2016-10-06 15:57:00\
2016-09-15 06:14:31	D	50.57.75.172	offline	SBL313869	AS19994 RACKSPACE	- US	2016-09-15 15:28:24\
2016-09-06 17:00:07	D	109.104.92.167	offline	SBL313871	AS20738 AS20738,	- GB	2016-09-16 19:07:36\
2016-08-31 11:56:56	D	37.221.210.196	offline	Not listed	AS41075 ATW-AS,	- HU	2016-09-16 19:07:36\
2016-08-29 14:29:56	D	87.98.132.57	offline	Not listed	AS16276 OVH,	- FR	2016-11-16 18:54:38\
2016-08-26 06:28:43	D	85.214.207.16	offline	Not listed	AS6724 STRATO	- DE	2016-08-29 14:29:56\
2016-08-26 06:28:43	D	210.172.213.117	offline	Not listed	AS7690 MIRAI	- JP	2016-09-06 17:00:07\
2016-08-24 11:47:07	D	207.58.163.118	offline	SBL310582	AS25847 SERVINT	- US	2016-08-29 14:29:56\
2016-08-24 11:47:07	D	37.59.8.81	offline	SBL310581	AS16276 OVH,	- FR	2016-08-26 06:28:43\
2016-08-18 10:23:40	D	104.131.35.60	offline	Not listed	AS14061 DIGITALOCEAN-ASN		2016-08-24 11:47:07\
2016-08-12 11:37:43	D	109.120.169.94	offline	SBL309265	AS30968 INFOBOX-AS	- RU	never\
2016-08-05 13:37:53	D	205.186.154.79	offline	SBL307985	AS31815 MEDIATEMPLE	- US	2016-08-19 13:28:25\
2016-08-05 13:37:53	D	104.153.0.227	offline	SBL307984	AS63100 CTCI		2016-08-19 13:28:25\
2016-07-15 10:56:03	D	176.31.75.101	offline	SBL305022	AS16276 OVH,	- FR	never\
2016-07-15 10:56:03	D	78.47.158.131	offline	SBL305020	AS24940 HETZNER-AS,	- DE	never\
2016-07-15 10:56:03	D	188.241.116.163	offline	Not listed	AS205522 HOSTERION,	- RO	never\
2016-07-14 03:38:14	D	91.121.65.64	offline	SBL305237	AS16276 OVH,	- FR	2016-07-18 03:45:29\
2016-07-14 03:38:14	D	202.143.148.163	offline	SBL305236	AS4621 UNINET-AS-AP	- TH	2016-07-18 03:45:29\
2016-07-07 12:01:42	D	70.32.97.158	offline	SBL304128	AS31815 MEDIATEMPLE	- US	2016-08-12 11:37:43\
2016-07-07 12:01:42	D	23.229.54.99	offline	SBL304127	AS55286 SERVER-MANIA	- US	2016-07-07 14:37:40\
2016-07-07 12:01:42	D	51.255.69.127	offline	Not listed	AS16276 OVH,	- GB	2016-07-07 14:37:40\
2016-06-29 14:23:20	D	45.40.142.185	offline	SBL303864	AS26496 AS-26496-GO-DADDY-COM-LLC		2018-04-10 12:51:53\
2016-06-29 14:23:20	D	78.47.93.16	offline	SBL303863	AS24940 HETZNER-AS,	- DE	2018-04-10 12:51:53\
2016-06-29 14:23:20	D	216.59.21.40	offline	SBL303862	AS15085 IMMEDION	- US	2018-04-10 12:51:53\
2016-06-27 12:55:52	D	24.172.94.180	offline	SBL303861	AS11426 SCRR-11426	- US	2016-07-05 11:02:36\
2016-06-27 12:55:52	D	119.59.124.163	offline	SBL252648	AS56067 METRABYTE-TH	- TH	2016-07-18 03:45:29\
2016-06-22 20:28:09	D	85.25.177.206	offline	Not listed	AS8972 GD-EMEA-DC-SXB1,	- DE	never\
2016-06-22 20:28:09	D	149.62.173.22	offline	Not listed	AS50926 INFORTELECOM-AS,	- ES	never\
2016-06-12 08:33:08	C	87.117.242.29	offline	Not listed		- GB	2017-02-13 11:54:06\
2016-06-09 13:28:03	D	78.46.160.67	offline	Not listed	AS24940 HETZNER-AS,	- DE	never\
2016-06-08 19:27:36	D	41.86.104.61	offline	SBL304147	AS10474 OPTINET,	- ZA	never\
2016-06-08 19:27:36	D	180.189.206.17	offline	Not listed	AS24466 HDNETNZ	- NZ	never\
2016-06-08 19:27:36	D	50.62.40.241	offline	SBL303860	AS26496 AS-26496-GO-DADDY-COM-LLC	- US	2016-07-18 03:45:29\
2016-06-01 03:11:32	D	92.222.204.59	offline	SBL300995	AS16276 OVH,	- FR	2017-06-10 19:17:47\
2016-05-31 13:39:34	D	2.50.41.54	offline	Not listed	AS5384 EMIRATES-INTERNET	- AE	never\
2016-05-31 13:39:30	D	86.147.208.204	offline	Not listed	AS2856 BT-UK-AS	- GB	never\
2016-05-31 13:39:28	D	216.45.83.67	offline	Not listed	AS18859 GVEC-NET	- US	never\
2016-05-31 13:39:19	D	78.146.221.200	offline	Not listed	AS13285 OPALTELECOM-AS	- GB	never\
2016-05-31 13:39:16	D	206.223.199.159	offline	Not listed	AS32204 KPUNET	- US	never\
2016-05-31 13:39:00	D	203.45.13.29	offline	Not listed	AS1221 ASN-TELSTRA	- AU	never\
2016-05-31 13:38:55	D	68.200.154.229	offline	Not listed	AS33363 BHN-TAMPA	- US	never\
2016-05-31 13:38:22	D	14.99.66.50	offline	Not listed	AS55740 TATAINDICOM-IN	- IN	never\
2016-05-31 13:37:50	D	14.97.188.182	offline	Not listed	AS55740 TTSLMEIS-AS-AP	- IN	never\
2016-05-31 13:37:17	D	101.187.28.8	offline	Not listed	AS1221 ASN-TELSTRA	- AU	never\
2016-05-31 13:37:12	D	76.164.64.111	offline	Not listed	AS6300 CCI-TEXAS	- US	never\
2016-05-31 13:37:09	D	89.230.226.86	offline	Not listed	AS21021 MULTIMEDIA-AS	- PL	never\
2016-05-31 13:37:00	D	67.7.122.166	offline	Not listed	AS209 CENTURYLINK-US-LEGACY-QWEST	- US	never\
2016-05-31 13:36:56	D	41.207.11.245	offline	Not listed	AS29571 ORANGE-COTE-IVOIRE,	- CI	never\
2016-05-31 13:36:19	D	68.235.137.123	offline	Not listed	AS11650 PLDI	- US	never\
