latitude;longitude
3.863.425.266;-1.214.177.759
3.855.701.398;-1.214.762.723
3.858.376.222;-1.214.848.464
3.854.242.302;-1.214.674.602
3.859.572.389;-1.215.050.785
38.609.884;-12.146.479
3.862.798.992;-1.215.092.581
3.860.240.036;-1.214.295.032
3.857.117.547;-1.214.924.504
3.850.482.198;-1.214.112.131
3.861.328.867;-121.494.681
3.861.112.465;-1.214.593.596
3.862.581.805;-1.214.971.301
3.861.102.318;-1.215.119.472
3.862.266.231;-1.214.260.893
3.856.788.759;-1.214.792.459
3.863.659.439;-1.214.763.493
3.852.654.807;-1.214.434.066
3.849.601.155;-1.214.592.772
3.860.311.006;-1.214.269.745
3.861.589.867;-1.214.924.786
3.860.880.668;-1.214.528.434
3.853.137.433;-1.214.506.403
385.313.798;-1.214.523.742
3.856.165.546;-1.213.880.115
3.864.316.291;-1.214.745.819
3.852.225.475;-1.214.114.993
3.864.390.931;-1.214.507.882
3.851.585.237;-1.213.675.001
3.854.020.494;-1.214.505.653
3.847.226.256;-1.214.336.162
3.866.757.714;-1.214.538.176
385.842.425;-1.215.036.468
3.857.562.427;-1.214.758.978
3.867.667.622;-1.215.088.422
3.860.667.473;-1.214.226.379
3.857.016.732;-1.215.069.731
3.861.472.939;-1.214.300.065
3.861.935.446;-1.214.755.343
3.861.292.672;-1.214.415.704
3.846.292.264;-1.214.284.026
3.846.377.975;-1.214.312.631
385.550.754;-1.214.684.533
3.858.245.172;-1.214.877.874
3.855.645.223;-1.214.289.124
3.854.470.924;-1.214.490.342
384.625.133;-1.214.603.514
3.867.660.642;-1.215.190.467
3.850.751.789;-1.215.477.443
3.856.502.139;-1.214.763.254
3.854.783.739;-1.214.243.203
3.855.137.298;-1.214.061.503
3.860.824.476;-1.215.192.803
3.854.468.278;-1.214.591.392
3.854.118.802;-121.459.316
3.862.769.343;-1.214.634.451
3.847.687.825;-1.215.002.604
3.848.227.523;-1.214.584.554
3.866.254.563;-121.451.289
3.851.484.622;-1.215.249.979
3.862.743.901;-1.215.056.249
3.847.663.386;-1.214.803.303
3.844.973.707;-1.214.180.465
3.861.880.719;-1.214.796.125
3.844.803.746;-1.214.078.016
3.851.042.757;-1.215.419.071
3.848.243.228;-121.514.852
3.855.155.803;-1.214.684.935
3.858.612.197;-12.148.322
3.860.879.322;-1.214.306.804
3.859.444.259;-1.214.814.732
3.848.369.463;-121.515.322
385.454.679;-1.214.573.325
3.864.036.498;-1.214.321.298
3.857.201.606;-1.214.692.575
3.855.531.685;-1.214.792.852
386.358.152;-1.214.446.434
3.859.156.169;-1.214.200.242
3.853.444.222;-1.214.079.133
3.857.920.289;-121.493.943
3.854.867.149;-1.214.230.827
3.863.482.334;-1.214.416.684
3.862.073.056;-1.214.618.489
3.860.930.026;-1.214.770.641
3.862.630.755;-1.214.756.162
3.862.073.678;-1.214.572.951
3.861.538.617;-1.214.234.494
3.851.364.018;-1.214.211.919
3.862.866.431;-1.214.631.893
3.846.252.937;-1.214.585.038
3.862.968.232;-121.446.116
3.858.514.056;-1.214.854.381
3.857.630.105;-1.214.319.262
3.860.527.526;-1.214.516.527
3.857.848.338;-1.214.742.082
3.854.102.578;-1.214.657.714
3.851.348.202;-121.532.542
3.856.382.548;-121.491.401
3.860.739.495;-1.214.205.954
3.857.962.095;-1.215.068.273
386.089.261;-1.214.935.886
3.862.275.189;-1.214.642.874
3.865.941.872;-1.215.096.441
3.859.530.776;-1.214.839.757
3.847.433.302;-1.214.398.174
3.843.840.598;-1.214.183.343
3.854.454.369;-1.214.558.291
3.859.645.425;-1.214.382.598
3.854.061.027;-1.214.474.575
3.851.007.761;-1.214.095.726
3.860.027.317;-1.214.252.477
3.859.808.509;-1.214.275.537
3.859.530.776;-1.214.839.757
3.855.614.777;-1.214.267.606
3.863.228.581;-1.214.303.283
3.844.973.707;-1.214.180.465
3.859.664.183;-121.423.349
3.863.931.448;-1.214.295.789
3.852.823.386;-1.214.456.482
3.847.602.372;-1.215.014.051
3.845.541.339;-1.214.420.784
3.858.057.689;-1.215.036.968
3.857.218.405;-1.214.907.608
3.849.543.922;-1.214.799.768
3.857.163.324;-1.214.854.271
3.852.736.754;-121.504.668
3.852.062.063;-1.215.084.967
3.862.635.393;-1.214.392.039
3.857.320.247;-1.214.747.123
3.857.411.723;-1.214.827.193
3.861.421.301;-1.214.925.571
3.863.939.388;-1.214.604.896
3.857.725.503;-1.214.806.992
3.861.692.679;-1.214.593.506
3.857.218.529;-1.214.642.683
3.858.245.363;-1.215.052.755
3.853.284.086;-1.214.959.218
3.853.553.572;-1.214.468.745
3.856.159.185;-1.214.923.822
3.857.240.323;-1.214.856.804
3.861.124.309;-1.214.755.625
3.854.106.323;-12.147.576
3.860.986.284;-1.214.590.542
38.542.611;-1.214.443.687
3.858.052.209;-1.214.986.248
3.847.764.806;-1.214.891.676
3.865.735.092;-1.215.102.676
3.863.862.878;-1.213.815.598
3.862.198.839;-1.214.461.582
3.863.862.878;-1.213.815.598
3.862.219.451;-121.438.211
3.854.940.296;-1.214.091.389
3.863.040.165;-1.214.780.296
3.851.332.326;-1.214.314.836
3.862.875.561;-1.215.085.108
3.858.184.562;-1.215.011.657
3.851.030.591;-1.214.787.921
3.862.982.199;-1.214.414.625
3.857.997.771;-1.214.978.345
3.865.899.218;-1.214.600.156
3.865.023.973;-1.215.085.026
3.853.114.891;-1.214.223.993
3.851.852;-121.475.971
3.845.790.447;-121.437.086
3.867.549.475;-1.214.977.777
3.847.322.263;-1.214.250.682
3.852.507.079;-1.214.199.387
3.863.253.761;-1.214.257.122
3.864.688.728;-1.214.140.661
3.849.297.696;-1.215.071.286
3.847.920.034;-1.214.638.793
3.857.881.567;-1.214.970.836
3.861.402.379;-1.214.926.144
3.849.852.712;-1.214.742.273
3.858.053.662;-1.214.906.312
3.861.499.899;-121.423.449
385.704.109;-1.214.841.033
3.857.704.873;-1.214.812.324
3.848.308.908;-1.214.790.012
3.861.733.037;-121.510.595
3.862.753.184;-1.214.755.302
3.865.357.208;-1.215.095.127
386.208.506;-1.214.700.175
