latitude;longitude
3.850.801.843;-1.214.787.669
3.847.047.038;-1.214.276.716
3.861.266.409;-1.214.988.152
3.847.322.263;-1.214.250.682
3.849.145.352;-1.214.760.298
3.846.689.445;-1.214.170.895
386.593.321;-1.215.231.067
386.593.321;-1.215.231.067
386.593.321;-1.215.231.067
3.860.607.992;-1.215.170.483
3.862.907.056;-1.214.812.389
385.107.739;-1.214.125.759
3.850.553.737;-1.214.357.391
3.863.001.178;-1.215.246.121
3.865.588.957;-1.215.219.811
3.864.648.745;-1.214.588.953
3.861.266.409;-1.214.988.152
3.853.725.978;-1.214.485.183
3.850.238.552;-1.214.148.429
3.862.592.771;-1.214.569.441
3.847.577.578;-1.214.544.107
3.862.613.997;-1.214.269.049
3.862.504.428;-1.214.978.986
3.848.712.572;-1.214.663.806
3.851.357.385;-1.214.310.692
3.856.824.782;-1.214.063.351
3.847.371.582;-1.214.416.525
3.865.682.845;-1.214.449.174
3.863.208.305;-1.215.275.004
3.854.903.932;-1.214.890.727
3.852.123.795;-1.215.122.674
3.848.160.193;-1.214.654.193
3.856.972.093;-1.214.436.294
3.853.689.529;-1.215.045.145
38.550.599;-1.215.055.033
3.857.054.301;-1.214.559.805
3.852.164.684;-1.214.709.707
3.852.164.684;-1.214.709.707
3.863.475.409;-1.214.347.477
3.854.675.579;-1.214.538.401
3.856.602.524;-1.214.996.535
3.868.359.884;-1.214.986.104
3.848.226.812;-1.214.482.407
3.848.146.892;-121.475.345
3.862.648.616;-1.214.966.948
3.850.962.701;-1.214.236.743
3.854.837.098;-1.214.723.111
3.864.969.964;-1.214.599.529
3.854.653.635;-1.214.305.337
3.861.442.767;-1.214.256.271
3.850.337.906;-1.215.124.278
3.845.936.698;-1.214.301.423
3.866.058.449;-1.215.429.309
3.850.102.546;-1.214.875.817
3.852.466.889;-1.213.929.846
3.856.831.488;-1.214.551.476
3.860.154.457;-12.142.747
386.118.742;-1.214.611.073
3.853.896.764;-1.214.702.374
3.857.216.632;-1.215.043.919
3.861.138.598;-1.214.472.415
385.695.415;-121.409.084
3.865.120.874;-1.214.515.199
3.848.832.414;-1.214.571.972
3.864.628.124;-1.214.553.219
384.811.677;-1.214.647.448
3.851.368.568;-1.215.292.694
3.861.112.661;-1.214.487.064
3.851.042.757;-1.215.419.071
3.864.642.723;-1.214.560.035
3.851.658.451;-1.215.236.897
3.853.881.527;-121.479.014
3.855.806.637;-1.214.715.924
3.846.703.933;-121.419.142
3.852.497.346;-1.214.425.904
3.852.709.836;-1.214.424.934
3.856.945.352;-1.214.005.189
3.853.881.527;-121.479.014
3.861.000.927;-1.214.470.317
384.873.608;-1.215.160.587
3.857.211.152;-1.214.800.056
3.857.510.308;-1.214.772.309
3.850.643.674;-1.214.315.489
3.862.798.003;-1.214.461.572
3.852.524.507;-1.213.702.937
3.862.712.763;-1.214.772.274
3.846.956.286;-1.214.616.848
386.347.855;-1.214.134.444
38.546.706;-121.440.543
3.855.727.813;-1.214.614.322
385.828.944;-1.215.043.244
3.855.426.406;-1.214.546.045
385.695.415;-121.409.084
3.851.141.318;-1.213.865.549
38.477.606;-1.214.933.388
3.855.155.803;-1.214.684.935
3.858.102.646;-1.215.060.865
3.857.039.642;-1.214.184.859
384.706.931;-1.214.271.773
3.849.696.354;-1.214.999.731
3.856.374.026;-1.214.119.685
3.847.952.023;-1.214.865.622
3.863.082.118;-1.214.278.895
3.862.592.964;-1.214.440.379
3.850.298.477;-1.215.346.969
3.854.718.283;-1.214.647.218
3.854.675.579;-1.214.538.401
3.863.747.898;-1.215.038.958
3.855.196.925;-1.214.653.678
3.856.140.588;-1.214.113.652
3.856.140.588;-1.214.113.652
3.853.912.989;-121.403.165
3.849.502.927;-1.214.847.037
3.861.655.968;-1.214.461.619
3.844.502.931;-1.214.059.375
3.844.973.707;-1.214.180.465
3.867.808.799;-1.215.154.531
3.858.357.594;-1.214.942.898
3.852.929.929;-1.214.215.299
3.849.940.254;-1.214.627.597
3.854.675.579;-1.214.538.401
3.846.073.053;-1.214.457.074
3.848.677.948;-1.214.598.222
3.844.697.363;-1.214.178.456
3.854.700.614;-1.214.633.315
3.854.680.076;-1.214.616.791
3.857.069.163;-1.214.548.846
3.862.465.729;-1.214.381.426
3.853.954.773;-1.214.091.401
3.857.043.064;-1.215.081.955
3.857.271.087;-1.214.662.897
3.854.675.579;-1.214.538.401
3.847.435.531;-121.448.452
3.854.669.508;-1.214.416.935
3.860.874.842;-1.214.944.018
3.863.895.258;-121.439.826
385.077.414;-1.215.389.783
3.847.692.818;-1.215.022.861
3.851.995.472;-1.215.225.871
3.857.223.488;-1.214.732.784
3.844.878.699;-1.214.408.522
3.857.798.346;-1.214.926.364
3.856.931.341;-1.214.745.346
385.467.716;-121.458.959
3.859.279.731;-121.485.061
3.855.689.118;-1.214.831.624
3.861.866.401;-1.215.195.671
3.864.404.243;-1.214.568.936
3.863.020.663;-1.214.959.999
3.852.498.825;-121.440.535
384.616.929;-1.214.323.938
3.859.279.731;-121.485.061
3.856.588.957;-1.214.602.865
3.854.818.818;-1.213.940.644
3.852.691.284;-1.215.113.897
3.867.811.932;-1.215.183.604
3.861.118.933;-1.214.265.596
385.752.667;-1.214.745.537
3.847.059.147;-12.143.386
3.852.394.421;-1.214.421.196
3.865.887.585;-1.214.469.922
3.847.732.902;-12.149.092
3.857.188.611;-1.214.648.897
3.854.674.644;-1.214.460.953
3.863.449.242;-1.215.028.488
3.857.188.611;-1.214.648.897
38.503.518;-1.214.757.666
3.862.427.027;-121.446.158
3.848.274.139;-1.214.501.724
3.847.421.612;-12.142.717
3.857.815.667;-1.214.876.958
3.844.752.323;-1.214.401.567
3.851.685.646;-1.215.250.509
3.855.019.478;-1.214.920.577
3.853.085.814;-121.479.149
3.849.525.938;-1.215.079.025
385.473.157;-1.214.520.421
3.854.675.579;-1.214.538.401
3.857.602.331;-1.214.682.622
3.856.559.378;-1.215.072.531
3.854.910.632;-1.215.096.362
3.858.062.786;-1.215.014.996
3.857.009.677;-1.214.162.358
384.511.981;-1.214.341.184
3.861.315.477;-1.214.490.547
3.856.689.949;-121.413.324
3.860.154.457;-12.142.747
3.848.278.711;-121.471.758
3.847.985.848;-1.214.462.157
3.850.440.869;-121.422.371
3.855.630.084;-1.214.662.305
3.865.847.399;-1.215.161.468
3.857.929.276;-1.214.906.436
3.865.847.399;-1.215.161.468
3.850.388.656;-1.215.390.906
3.856.665.175;-1.215.067.911
3.861.112.661;-1.214.487.064
3.854.392.319;-1.214.712.461
3.847.038.918;-1.214.223.876
3.861.755.666;-1.214.444.846
3.848.149.327;-1.214.644.874
3.847.765.523;-1.215.196.666
3.861.728.024;-1.215.007.778
386.296.517;-1.214.755.286
3.852.007.051;-1.215.018.595
3.861.112.009;-1.214.473.381
3.857.551.005;-1.214.940.462
3.847.429.277;-1.214.503.108
3.862.197.217;-1.214.253.528
3.855.595.051;-1.214.641.035
3.862.477.487;-1.214.251.692
3.858.245.363;-1.215.052.755
3.862.192.663;-1.214.322.662
3.858.601.422;-1.214.836.896
3.848.340.799;-1.215.203.336
3.851.177.507;-1.215.431.042
3.856.342.448;-1.214.693.599
38.591.168;-1.214.817.665
3.861.140.992;-1.214.476.543
3.848.020.167;-1.214.601.374
3.862.192.663;-1.214.322.662
3.863.589.608;-1.215.055.312
3.860.785.424;-1.214.581.841
3.848.151.147;-1.214.684.313
3.856.215.492;-121.506.385
3.853.385.644;-121.515.754
3.851.599.171;-1.214.274.605
3.858.358.534;-1.214.920.473
3.864.278.274;-1.214.257.137
3.855.805.348;-1.214.790.449
3.849.575.914;-1.214.827.348
3.861.890.556;-1.215.000.769
3.848.340.441;-1.215.321.939
3.848.272.145;-1.214.790.738
3.857.772.224;-1.214.906.793
385.543.985;-1.214.790.156
3.858.003.319;-1.214.973.304
3.865.877.823;-1.215.043.183
3.857.042.066;-1.214.740.683
3.855.234.985;-1.214.711.067
3.851.018.598;-1.214.900.812
3.854.528.535;-121.464.715
3.861.949.324;-1.214.962.856
3.848.214.296;-121.534.651
3.861.138.144;-121.455.557
3.855.477.924;-1.214.715.398
3.849.466.185;-1.215.212.433
3.861.112.661;-1.214.487.064
3.861.950.804;-1.214.535.138
38.524.921;-1.214.494.106
3.854.215.599;-1.214.439.667
3.856.944.762;-1.214.666.533
3.855.792.771;-12.143.864
386.259.957;-1.214.869.215
3.854.783.739;-1.214.243.203
3.855.128.541;-1.214.671.318
3.859.577.758;-1.214.262.601
3.855.575.132;-121.411.779
3.861.972.393;-1.214.746.566
3.862.741.952;-1.214.978.994
3.857.562.396;-1.214.260.374
3.848.617.977;-1.214.549.077
3.864.316.291;-1.214.745.819
3.859.714.644;-1.214.520.581
386.474.367;-1.214.534.502
3.864.316.291;-1.214.745.819
3.852.199.137;-1.214.990.149
3.861.732.525;-1.215.198.701
3.862.896.755;-1.215.066.925
3.854.395.353;-1.214.647.075
3.860.930.781;-1.214.485
3.850.686.233;-1.214.787.544
3.854.675.579;-1.214.538.401
3.862.147.929;-1.214.278.524
38.525.636;-1.214.473.287
3.847.245.555;-1.214.270.863
385.793.726;-1.214.747.124
3.862.247.542;-1.214.389.474
3.863.449.242;-1.215.028.488
3.867.732.505;-1.215.168.735
3.851.434.816;-1.214.800.628
3.861.542.969;-1.214.919.849
3.864.191.945;-1.214.216.347
3.862.009.248;-121.426.719
3.859.007.055;-1.214.856.685
3.848.538.062;-1.215.374.388
3.855.462.435;-121.458.819
3.861.474.191;-1.214.461.725
3.854.221.766;-1.214.374.105
3.861.295.423;-1.215.005.071
3.860.307.405;-121.420.291
3.847.433.721;-1.214.189.709
3.845.471.595;-1.214.381.169
3.852.555.366;-12.143.427
3.862.147.929;-1.214.278.524
3.847.614.715;-1.214.598.152
3.862.406.654;-1.214.448.995
3.855.269.382;-1.214.274.073
3.861.696.967;-1.215.000.765
3.847.587.793;-1.214.395.992
3.863.936.687;-1.214.408.906
3.853.450.711;-1.214.681.974
38.627.317;-1.214.534.085
3.858.314.743;-1.214.974.099
3.853.944.483;-1.214.629.583
3.856.374.165;-1.214.787.306
3.858.276.198;-1.214.688.872
3.852.983.357;-1.214.448.282
3.857.615.249;-1.215.003.415
3.852.532.078;-1.214.830.904
3.866.298.106;-1.215.270.363
3.861.199.425;-1.214.244.182
384.890.423;-121.491.965
3.857.500.761;-1.214.841.051
3.862.648.616;-1.214.966.948
3.854.327.657;-1.214.417.342
3.845.543.018;-1.214.370.462
3.858.618.556;-1.214.870.224
3.847.431.603;-1.214.546.419
3.854.718.283;-1.214.647.218
3.865.798.545;-121.541.883
3.857.498.057;-1.214.642.474
3.858.506.592;-1.214.884.229
3.863.862.878;-1.213.815.598
3.862.346.829;-1.214.426.884
3.857.100.991;-1.214.935.219
3.861.124.309;-1.214.755.625
3.851.048.773;-121.406.008
3.856.412.181;-121.417.918
3.854.066.622;-1.214.517.155
3.864.674.718;-1.215.324.558
3.850.111.994;-1.215.139.178
3.862.210.853;-1.215.191.764
3.851.995.809;-1.214.304.905
3.851.995.809;-1.214.304.905
3.852.199.137;-1.214.990.149
3.847.764.806;-1.214.891.676
385.985.901;-1.214.286.169
3.861.188.095;-1.214.655.275
3.858.215.599;-1.214.775.255
3.857.294.064;-1.214.248.243
3.860.590.997;-1.214.646.484
3.856.519.016;-1.214.442.104
3.850.305.262;-1.214.827.938
3.852.199.137;-1.214.990.149
3.862.599.581;-1.214.316.422
386.161.187;-1.214.504.318
3.857.871.645;-1.214.802.163
3.862.354.293;-121.434.294
3.847.732.859;-1.214.803.322
3.862.996.703;-1.214.784.703
3.850.634.715;-1.215.169.435
3.867.745.476;-1.215.027.381
3.862.541.828;-121.433.145
3.863.647.046;-121.429.178
3.864.420.903;-1.215.129.034
3.858.088.731;-1.214.714.654
3.862.541.828;-121.433.145
3.858.026.647;-1.214.979.339
3.866.719.342;-1.215.277.369
3.849.850.245;-1.214.827.604
386.183.743;-1.214.392.211
3.851.055.822;-1.213.905.289
3.866.234.122;-1.214.951.282
3.850.635.324;-1.215.277.277
3.848.664.963;-1.214.769.699
3.860.992.783;-121.456.513
3.856.587.673;-1.214.646.165
3.862.363.032;-1.214.866.655
3.861.890.556;-1.215.000.769
385.425.445;-1.214.284.607
3.862.595.817;-1.214.290.136
3.855.234.985;-1.214.711.067
3.856.913.281;-1.214.406.785
3.854.146.972;-1.214.254.625
3.847.427.504;-1.214.465.943
3.852.983.357;-1.214.448.282
3.864.681.802;-1.214.650.379
3.861.589.986;-1.214.902.491
3.853.876.157;-121.416.555
385.395.643;-1.214.134.753
3.852.507.559;-121.427.517
3.865.550.746;-1.215.556.894
3.857.715.166;-1.214.827.568
3.861.341.962;-1.214.527.905
3.862.541.828;-121.433.145
385.545.627;-1.213.802.811
3.851.446.243;-1.215.298.585
3.853.630.908;-1.214.056.953
3.862.529.673;-1.214.318.753
3.856.382.548;-121.491.401
3.863.466.859;-1.214.301.867
3.862.868.558;-121.468.398
3.847.943.831;-1.214.376.744
3.852.475.578;-1.214.919.171
3.849.407.763;-1.214.673.944
3.846.499.591;-1.214.174.193
3.855.766.731;-121.471.396
3.862.020.172;-1.214.366.726
386.220.841;-1.214.341.446
3.859.278.496;-1.214.841.374
3.861.142.717;-1.214.719.599
3.861.449.687;-121.442.601
3.861.112.661;-1.214.487.064
3.863.020.663;-1.214.959.999
3.856.853.798;-1.214.251.955
385.791.674;-1.214.984.069
3.854.146.972;-1.214.254.625
385.692.795;-1.214.890.397
3.848.934.244;-1.214.859.396
3.862.218.315;-1.214.659.998
3.863.024.715;-1.214.493.987
3.858.388.345;-1.214.745.497
3.852.078.633;-1.215.119.629
386.161.168;-1.214.529.308
3.848.199.912;-1.214.784.328
385.474.759;-1.213.980.671
3.850.298.477;-1.215.346.969
3.858.184.562;-1.215.011.657
3.850.298.477;-1.215.346.969
3.854.818.818;-1.213.940.644
3.848.455.742;-1.214.656.033
3.853.317.666;-1.215.069.385
3.863.862.878;-1.213.815.598
3.855.804.061;-1.213.998.489
3.848.371.518;-1.214.516.915
3.857.160.034;-12.148.052
3.848.574.227;-1.214.611.611
3.853.952.458;-1.214.647.617
385.601.973;-1.215.122.704
3.863.410.573;-121.455.905
3.857.150.442;-1.214.836.302
3.862.991.663;-1.214.394.524
3.858.165.678;-1.215.032.275
3.859.875.634;-1.214.211.729
3.855.155.803;-1.214.684.935
3.851.750.189;-1.214.409.152
3.849.689.915;-1.214.828.349
3.863.862.878;-1.213.815.598
3.858.573.502;-1.214.863.575
3.860.781.149;-1.214.220.758
3.863.472.676;-1.214.478.727
3.846.791.937;-1.214.226.974
3.849.590.431;-1.215.235.515
3.847.826.995;-12.146.994
3.862.354.293;-121.434.294
3.849.311.839;-1.214.595.052
3.864.518.402;-1.214.326.726
3.846.956.131;-1.214.332.115
3.846.025.863;-1.214.184.079
3.861.112.661;-1.214.487.064
3.861.936.618;-1.214.382.088
3.860.027.317;-1.214.252.477
3.864.404.243;-1.214.568.936
3.863.153.999;-1.214.367.266
3.851.585.289;-1.214.383.522
386.059.953;-1.214.284.911
3.866.144.962;-1.215.292.529
3.856.567.077;-1.214.983.269
384.894.192;-1.215.427.895
3.847.587.955;-1.214.410.698
3.864.600.077;-1.215.132.343
3.856.796.664;-1.214.852.542
3.853.046.628;-1.214.433.516
3.862.496.247;-1.214.337.087
3.852.491.808;-1.214.522.664
3.864.316.291;-1.214.745.819
3.855.863.257;-1.213.793.225
3.860.027.317;-1.214.252.477
3.853.951.607;-1.214.352.432
3.863.253.662;-1.214.260.658
385.978.936;-1.214.238.252
3.847.429.277;-1.214.503.108
3.865.941.872;-1.215.096.441
3.847.215.453;-1.214.912.852
3.861.874.708;-1.214.569.463
3.857.829.626;-121.482.654
3.849.547.672;-1.214.718.913
3.850.990.576;-1.215.302.484
3.866.123.935;-1.215.295.379
3.852.285.617;-1.214.335.119
3.852.983.357;-1.214.448.282
3.861.041.662;-1.214.230.206
3.852.991.087;-1.215.224.402
3.862.809.515;-1.214.756.171
3.853.760.783;-1.214.647.446
3.853.634.384;-1.214.407.606
3.862.648.616;-1.214.966.948
3.852.501.505;-1.214.455.298
3.857.732.399;-1.214.698.616
3.857.493.581;-121.483.399
3.851.213.446;-1.214.793.485
3.845.585.205;-1.214.301.179
3.854.677.899;-1.214.593.645
3.851.213.446;-1.214.793.485
3.852.709.836;-1.214.424.934
3.862.863.295;-1.214.547.111
3.864.479.784;-1.214.581.238
3.854.918.489;-1.214.665.635
3.864.316.291;-1.214.745.819
3.864.578.755;-1.214.381.896
3.853.408.342;-121.507.079
3.853.166.382;-1.214.703.231
3.855.211.647;-1.214.049.517
3.858.428.687;-1.214.855.038
3.861.009.514;-1.214.927.929
3.852.718.667;-1.214.712.477
3.857.633.652;-1.214.785.616
3.861.521.091;-121.491.563
386.161.187;-1.214.504.318
3.863.358.427;-1.214.313.716
3.855.477.924;-1.214.715.398
3.847.421.612;-12.142.717
38.506.135;-1.214.140.049
3.849.311.839;-1.214.595.052
3.851.183.814;-1.215.187.097
38.493.179;-1.214.708.286
386.140.791;-1.214.920.785
3.851.297.449;-1.215.185.972
3.851.052.171;-1.214.274.484
3.857.368.379;-1.214.791.371
3.848.131.474;-1.215.013.123
3.852.567;-1.214.162.355
3.855.317.349;-1.214.698.767
3.852.935.875;-1.214.471.706
3.862.024.815;-1.214.590.874
3.861.054.373;-1.214.231.806
3.853.876.024;-1.214.065.734
3.862.928.795;-1.215.064.872
3.855.612.335;-1.214.724.356
3.861.536.788;-1.214.948.028
3.855.080.199;-1.214.392.101
3.858.068.906;-1.214.903.293
3.857.966.847;-1.214.745.598
3.862.824.591;-1.214.767.711
3.851.084.657;-1.214.095.907
3.848.412.546;-1.214.762.198
3.855.619.719;-1.214.551.842
3.846.337.225;-1.214.161.718
3.853.849.952;-1.214.907.389
3.864.270.234;-1.214.562.911
3.848.126.775;-121.505.075
3.855.078.622;-1.214.630.967
3.843.809.806;-1.214.292.715
3.843.809.806;-1.214.292.715
3.861.112.011;-1.214.461.937
3.863.472.676;-1.214.478.727
3.849.708.379;-1.214.973.062
3.853.345.635;-1.215.192.421
3.847.504.537;-1.215.314.103
3.857.115.555;-1.214.696.312
3.852.604.112;-1.214.863.745
3.847.501.232;-1.215.313.861
3.860.286.119;-1.214.533.125
38.608.676;-1.214.799.069
386.715.134;-1.215.055.012
3.855.123.169;-1.214.043.052
3.861.655.961;-1.214.438.554
3.848.149.132;-1.214.724.244
3.848.230.213;-1.214.530.858
3.864.493.057;-1.214.291.487
3.858.215.599;-1.214.775.255
3.849.575.914;-1.214.827.348
3.855.721.356;-1.214.104.346
3.861.394.284;-1.214.438.793
3.849.605.385;-1.215.036.133
3.862.612.905;-121.441.537
3.864.316.291;-1.214.745.819
3.860.781.149;-1.214.220.758
3.857.052.225;-1.214.521.612
3.864.775.726;-1.214.423.479
3.851.272.351;-1.215.183.333
3.855.128.541;-1.214.671.318
3.848.472.747;-1.214.608.299
3.853.128.662;-1.214.364.025
3.860.107.058;-1.214.199.574
3.856.946.478;-1.214.862.332
386.112.148;-121.471.755
3.856.845.333;-1.215.074.956
3.857.143.409;-121.492.564
3.849.788.243;-1.215.332.347
3.850.039.411;-1.214.808.562
3.855.056.728;-1.213.859.386
3.863.046.166;-1.214.425.742
3.863.763.772;-1.214.331.423
3.862.776.914;-1.215.221.311
3.865.012.521;-1.214.599.427
3.856.442.488;-1.213.846.687
3.850.596.801;-1.214.222.955
3.862.329.722;-1.214.385.384
3.855.108.662;-1.214.054.638
3.865.956.858;-1.215.048.486
3.865.831.287;-121.438.413
3.848.782.523;-1.215.181.204
3.859.971.248;-1.214.284.714
3.864.302.793;-1.215.396.858
3.861.266.409;-1.214.988.152
3.861.344.504;-1.214.890.137
3.861.283.605;-121.423.624
3.857.173.197;-1.214.903.653
3.865.875.599;-121.451.819
3.848.934.244;-1.214.859.396
3.863.484.756;-1.214.438.493
3.848.160.193;-1.214.654.193
386.569.451;-1.214.377.865
385.791.674;-1.214.984.069
3.850.726.336;-1.214.321.259
3.857.262.977;-121.465.972
3.858.285.466;-1.214.938.681
3.848.947.366;-1.214.951.552
3.847.317.612;-121.468.123
3.853.514.705;-121.471.825
3.848.292.781;-1.214.990.513
3.855.451.921;-1.214.300.538
3.861.483.626;-1.214.458.043
3.859.124.596;-1.214.832.354
386.111.909;-1.214.268.781
3.858.104.084;-1.214.916.456
385.906.691;-121.481.959
38.587.136;-1.214.883.415
3.863.475.409;-1.214.347.477
3.849.580.633;-1.214.737.197
385.906.691;-121.481.959
3.858.243.993;-1.215.014.414
3.862.610.032;-1.214.989.028
3.854.804.158;-1.214.256.229
3.852.131.791;-1.214.982.191
3.846.753.799;-1.214.216.597
3.856.037.767;-1.214.866.729
386.101.634;-1.214.790.946
3.858.314.743;-1.214.974.099
3.850.684.258;-1.214.829.201
3.857.209.021;-1.214.102.522
3.863.448.929;-1.214.522.227
3.847.295.223;-1.214.281.268
3.854.888.945;-1.214.107.516
3.854.672.494;-1.214.467.668
3.852.469.057;-1.214.442.915
3.859.124.596;-1.214.832.354
385.488.551;-1.214.908.853
3.856.855.432;-1.214.908.532
3.858.148.094;-1.214.981.108
3.854.850.275;-1.214.687.016
3.857.087.568;-1.214.861.182
3.863.980.996;-1.214.578.571
3.858.612.197;-12.148.322
3.854.665.856;-1.214.386.867
3.846.365.645;-1.214.363.632
3.857.164.676;-1.214.701.627
3.862.783.484;-1.215.234.154
3.850.963.304;-1.215.395.917
3.855.199.422;-1.214.960.208
3.851.692.224;-1.215.002.562
3.853.863.585;-1.214.667.542
3.855.451.604;-1.214.674.364
3.850.812.472;-1.215.178.296
3.857.686.552;-1.214.956.981
3.861.460.058;-1.214.487.811
3.853.514.629;-1.214.937.694
3.858.138.778;-121.483.793
3.857.795.857;-1.215.078.603
3.851.690.753;-1.214.316.473
3.859.657.483;-1.214.303.406
3.861.377.272;-1.214.496.554
3.853.450.711;-1.214.681.974
3.847.566.977;-1.215.027.455
3.853.361.515;-1.214.946.473
3.849.502.083;-1.214.840.434
3.857.917.936;-1.214.892.102
3.855.719.536;-1.214.100.955
3.858.176.769;-1.214.920.847
3.846.175.837;-1.214.179.521
385.262.375;-1.214.215.197
385.797.426;-1.214.987.072
3.853.955.897;-1.214.311.068
3.854.718.182;-1.215.084.361
3.857.372.161;-1.214.826.732
3.851.613.758;-1.214.111.198
3.853.015.137;-1.214.162.304
3.858.615.671;-1.214.879.497
3.852.635.817;-121.416.569
3.853.735.699;-1.214.687.076
384.971.084;-121.510.727
386.296.408;-121.463.553
3.853.877.351;-121.465.047
3.852.496.323;-1.214.438.874
3.852.943.634;-121.422.581
3.861.390.001;-121.421.127
3.850.298.477;-1.215.346.969
3.852.835.927;-1.214.137.141
3.852.943.634;-121.422.581
3.852.943.634;-121.422.581
3.847.676.441;-1.214.561.777
385.322.315;-1.214.143.431
3.850.298.477;-1.215.346.969
3.862.834.524;-1.214.461.579
3.863.297.991;-1.214.169.566
38.493.322;-1.214.732.803
3.848.285.946;-1.215.029.365
3.858.184.562;-1.215.011.657
3.851.613.758;-1.214.111.198
3.853.315.305;-121.419.027
3.852.745.012;-1.214.120.437
3.852.860.039;-121.422.343
385.288.747;-1.214.211.872
3.852.962.554;-1.214.186.887
3.856.124.982;-121.511.165
3.849.641.294;-1.215.105.536
3.852.679.481;-1.214.198.513
3.854.146.972;-1.214.254.625
3.853.017.083;-1.214.173.663
3.859.664.183;-121.423.349
3.865.847.399;-1.215.161.468
3.855.542.922;-1.214.829.107
3.849.869.042;-1.214.793.661
3.852.758.492;-1.214.115.532
3.847.581.524;-1.214.196.575
3.853.057.968;-1.214.178.524
3.852.718.667;-1.214.712.477
3.849.601.155;-1.214.592.772
3.852.792.486;-121.422.338
3.849.372.331;-1.215.247.086
3.854.874.242;-1.214.576.223
3.848.658.549;-1.215.151.766
3.853.044.268;-1.214.173.676
3.852.997.079;-1.214.681.928
3.853.114.288;-1.214.211.933
3.849.742.308;-12.147.238
3.851.554.344;-1.214.790.195
3.853.166.844;-1.214.170.325
3.849.180.749;-1.215.222.477
3.862.489.157;-121.440.024
3.854.439.581;-1.213.908.868
3.853.144.221;-1.214.108.607
3.861.000.927;-1.214.470.317
3.853.144.221;-1.214.108.607
3.853.114.234;-1.214.107.513
3.852.676.364;-1.214.120.459
3.860.918.188;-1.214.259.738
3.854.675.579;-1.214.538.401
384.955.943;-1.215.222.888
3.852.676.364;-1.214.120.459
3.853.043.731;-1.214.206.712
385.262.375;-1.214.215.197
3.857.920.289;-121.493.943
3.858.464.151;-1.214.868.341
38.491.127;-1.215.250.368
3.851.505.369;-1.215.227.003
386.184.743;-1.214.210.338
3.853.223.561;-1.214.167.866
3.853.144.221;-1.214.108.607
3.861.872.505;-1.215.053.633
3.851.382.164;-1.215.269.234
3.849.681.243;-1.215.307.469
3.847.616.031;-1.215.327.897
3.852.648.208;-1.214.112.162
3.854.139.021;-1.214.752.017
3.852.917.414;-1.214.114.177
3.864.413.073;-1.214.273.239
386.437.302;-121.426.844
385.182.915;-1.215.135.563
3.861.000.957;-1.214.465.208
3.851.170.141;-1.214.435.468
386.476.726;-1.214.569.009
3.863.862.878;-1.213.815.598
3.848.435.676;-1.214.538.072
3.849.742.726;-1.215.108.052
3.853.881.527;-121.479.014
3.851.646.465;-1.215.146.732
3.851.626.989;-1.214.365.804
3.844.594.829;-1.214.253.051
3.848.621.943;-1.215.189.173
3.854.919.426;-1.214.709.972
3.848.460.818;-1.214.908.472
3.862.203.999;-1.214.755.356
3.856.713.881;-1.214.685.593
386.697.424;-1.215.016.816
3.849.136.508;-1.214.869.243
3.861.576.515;-1.214.471.131
385.797.426;-1.214.987.072
3.864.361.887;-1.214.199.227
3.847.581.524;-1.214.196.575
3.864.444.377;-1.214.351.575
3.847.433.721;-1.214.189.709
3.850.912.795;-1.215.403.218
3.847.581.524;-1.214.196.575
3.856.819.418;-1.214.895.092
3.862.192.663;-1.214.322.662
386.324.535;-1.214.248.097
3.857.991.197;-1.214.966.071
3.864.009.771;-1.215.327.445
3.851.522.221;-1.215.183.094
3.857.900.945;-121.489.911
3.850.921.424;-1.214.808.935
3.857.341.789;-1.214.689.637
3.861.211.702;-1.214.948.783
3.851.177.748;-1.214.416.695
3.847.713.447;-1.214.885.251
3.866.417.322;-1.215.257.956
3.846.365.037;-1.214.384.971
3.864.287.128;-121.450.194
385.513.666;-1.214.686.663
3.854.883.395;-1.214.696.677
3.859.714.644;-1.214.520.581
3.861.992.921;-1.214.192.999
3.860.907.905;-1.214.803.834
3.861.138.598;-1.214.472.415
3.863.982.914;-1.214.068.418
3.850.304.742;-1.214.791.876
3.846.715.727;-1.214.482.596
3.856.018.718;-1.214.870.624
3.851.432.608;-1.214.096.668
3.861.648.144;-1.214.516.505
386.697.424;-1.215.016.816
3.852.393.465;-121.388.611
385.217.126;-1.214.177.744
3.850.557.133;-1.214.331.388
3.860.350.711;-1.214.646.139
3.860.027.317;-1.214.252.477
3.849.192.221;-121.551.578
3.853.517.026;-1.214.473.982
3.861.783.155;-1.214.503.031
3.860.218.075;-1.214.681.757
3.848.550.389;-1.215.010.455
3.861.812.954;-121.459.947
3.854.454.919;-1.214.575.843
385.470.458;-1.214.325.052
3.852.652.786;-1.214.443.436
3.855.292.689;-121.427.895
3.863.822.005;-1.214.068.481
3.848.147.413;-1.214.362.016
3.863.910.642;-121.528
3.843.799.945;-1.214.177.615
3.862.973.626;-1.215.230.491
385.741.441;-121.431.646
3.863.822.005;-1.214.068.481
3.855.952.278;-1.214.622.826
3.847.581.524;-1.214.196.575
3.850.795.563;-1.214.305.094
3.863.862.878;-1.213.815.598
3.863.862.878;-1.213.815.598
3.860.108.154;-121.456.171
385.494.469;-12.140.432
384.681.451;-1.214.233.592
3.853.626.488;-1.214.852.801
